category,city,fax,phonenumber_three,province,description,url,phonenumber_four,website,subcategory_two,subcategory_three,subcategory_one,address_two,lead_source,phonenumber_five,phonenumber_two,company_name,address,keywords,email_address,phonenumber_one
Software And Web Development,,,,,philcoders is a software and web development studio / consultancy firm specializing in crafting high-quality computer code to build state-of-the-art software solutions and web applications.   philcoders is a software and web development company based on the small but rapidly progressing city of Lucena in the Philippine Islands. Founded by Arthur Abogadil in 2008 and formally licensed and registered in the Philippines on 2010.  ,,,www.philcoders.com,,,,,,,,philcoders,2nd Floor Arenal Building Granja Cor Trinidad Sts Brgy 1Lucena Quezon,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=zvbTil5kflODwIjk345-PGX4YrfpG-bPNnZLh6FjqI0= http://www.philcoders.com,+63 042 322 0421
Management Consulting,,,,,"QZN Electrical Builders Co. (QEB) is an electrical engineering company and trusted by leading companies in our area. It was accredited by Meralco (AMC). We are located at CALABARZON Region at 8170 Quezon Avenue, Brgy. Gulang Gulang, Lucena City.  We offers professional Electrical Design services in the areas of: Residential, commercial and industrial estates, including Public Lighting Installations, Electrical Distribution and Sub Transmission Networks, Commercial and industrial installations.  Professional Electrical Engineering Design Services offered: MEPF + Solar Design, Estimates and Installation Electrical Audit, Inspection and Assessment Electrical Equipment sales Testing and Commissioning MEPF+Solar As-Built Engineering Plans Sign and Seal Short Circuit and Voltage Drop Analysis Project Management Trainings and Seminars Mechanical Engineering: HVAC+Refrigeration System HVAC Design and Maintenance Solar Engineering: On grid System Design Off gird System Design Hybrid System Design Civil and Structural Engineering: Structural Design and Planning Horizontal and Vertical Structure Plumbing and Piping Engineering: DVW System Cold and Hot Water Distribution System Piping and Sanitary System ",,,www.qeb.electrical.com,,,,,,,,QZN Electrical Builders Co.,"8170 Quezon Avenue, Lucban, Quezon Barangay 1 (Pob.)Lucena City QUEZON",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=RmrfA06_sqzlu1cN6MaxjDvnZFl_4LL0x0xBtSYwLoQ= http://www.qeb.electrical.com,09238030289
Pastry Food and Drink,,,,,"Try our softest, creamiest, fluffiest Cupcake. Avail our cupcakes for affordable prices. Ilayang Iyam Lucena City ",,,brookebakeshopp.net84.net,,,,,,,,brookebakeshopp,Ilayang Iyam  Ilayang IyamLUCENA CITY  QUEZON,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=g3JXPV59f5kxIlhmpmGI-VQKZobG_2VScBVHUR0lZafcTsgVP-NDSu8KCzPViMgf http://brookebakeshopp.net84.net,
Rotissorie Roasting Machine Supplier Manufacturer,,,,,"Biala-Meris,Inc is a new company based in California that has developed a new way to cook not only chickens, but other types of foods BialaMeris has developed an oven that can roast twenty eight (28) x 5.0 lbs chickens in 50 minutes or fifty six (56) x 2.0 lbs chickens in 45 minutes. Their process uses a combination of outside heat to brown the chicken with conduction and convection heat from the inside insuring the complete cooking of the chicken and the retention of moisture without the necessity for chemicals. The patented technology is designed to comply with modern food safety programs to totally eradicate pathogens, parasites and reduce carcinogenic formation. ",,,www.bialameris.com,,,,,,,,Biala-Meris Asia,1975 Wisdom Street Risario Village Lucneal City Ilayang IyamLUCENA CITY  QUEZON,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=i6a4apqa92pWYK6U6hweuPsUF01oH1tTGU5EfXGt3Y0= http://www.bialameris.com,63 09227029231
Aluminum,,,,,"Uniframe Aluminum Corporation  is a Aluminum  business in Davao City ,Davao ",,,,,,,,,,,Uniframe Aluminum Corporation,Vinzon  Davao City  Davao,,,(082) 2277104
Churches,,,,,"Bell Church  is a Churches business in Davao City ,Davao ",,,,,,,,,,,Bell Church,Vinzons  Davao City  Davao,,,(082) 2279128
Architects,,,,,"Ansaldo Jaime P  is a Architects  business in Davao City ,Davao ",,,,,,,,,,,Ansaldo Jaime P,Vinzon  Davao City  Davao,,,(082) 2263797
Mining Companies,,,,,"Loyalty Mining & Devt Corp is a Mining Companies  business in Davao City ,Davao ",,,,,,,,,,,Loyalty Mining & Devt Corp,26 Lupo Diaz Davao City  Davao,,,(082) 2211821
manufacturer exporter,,,,,"KF Nutri Foods International inc. is a manufacturer and exporter of banana chips.  It is established in 2008 and regularly exporting to Asian countries, U.S. and Europe in full container loads of banana chips. ",,,www.kfnutrifoods.com,,,,,,,,kf nutri foods international inc.,dwtc bldg porras corner vinzon st barrio obrerodavao city Davao del Sur,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=31u1CWVpW_B4I1hYJSnep3lRFV4gvWP8rLtenmHhL2s= http://www.kfnutrifoods.com,+63823005494
Arts & Creative Center,,,,,"Allow us to briefly introduce ourselves to your school. Global Art & Creative was founded in 1999 in Malaysia by Mr. Mahair Goh. As an art teacher, Mr. Goh has had the experience of teaching drawing and art to students from 4 years old and above. He realized that art and drawing lessons, although very much loved by children, have not received the attention that it deserves. Unlike other creativity lessons such as dancing or music, drawing lessons seldom (if at all) have any systematic curriculum nor possess goals for its students. Thus, the lessons were mainly based on the teachers, making it a teacher-oriented lesson. Students would just follow and copy what the teacher draws. Determined to make a difference and to make changes in art and drawing lesson. Mr. Goh started to conceptualise  a curriculum. One that was student-oriented, allowing students to be creative and innovative, it also taught them the techniques that they needed to learn in order to master the skill. Therefore, he founded, Global Art and Creative. Global Art and Creative was very welcomed and appreciated in Malaysia that it grew from 10 centers to 60 centers in just a year. Furthermore, Global Artâ€™s curriculum is now being used in 18 different countries including China, Australia, Canada and most of the South East Asia countries, with 450 centers and more than 100,000 students worldwide. For Mr. Gohâ€™s dedication to teaching art, he has since received so many acknowledgments and awards from the Malaysian government as well as reputable organizations including the LimKokWing University of Creative Technology, The Saito Art Academy of Japan, and Lefranc and Bourgeois of France. Global Art and Creative has four main levels which are as follows: â€¢	Foundation Level (4 years old â€“ 6 years old) Teaching children to draw through dotted lines to greater enhance their fine motoring skills and to learn the basic shapes. Children can also add objects in the drawing and they will also learn different techniques of coloring using color pencils and oil pastel. â€¢	Basic Level ( 7 years old â€“ 9 years old) Teaching children to draw not only an object but also a scene using drawing composition techniques, allowing them to conceptualize their ideas into something visual.  â€¢	Intermediate Level (10 years old â€“ 13 years old) Teaching children to further enhance their drawing and composition skills by drawing human figures with complex themes using oil pastels and the introduction of poster color. â€¢	Advance Level (14 years old and above) Teaching children to much more complex drawing skills such as painting, sketching, and illustration. Aside from its four main levels, Global Art and Creative also offers other programs such as Comic and Cartoon. In Global Art and Creative, we donâ€™t only teach children how to draw by copying a sample. We teach children to explore their imagination and create their own stories as well sharpening their drawing and coloring skills.    ",,,,,,,,,,,Global Arts & Creative,"Le Vivre 301 E. Palma Gil St., Bo. ObreroDavao City Davao del Sur",,,+6382 221-9980
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Educational Institutions,,,,,Tesda Certified Ladderized Program: Bachelor of  Industrial Technology major in Automotive Technology ,,,,,,,,,,,University of Southeastern Philippines College of Technology (USEP),"Obrero Campus, Bo. Obrero, Davao City",,,
Contractor,,,,,STALWART is a Davao City based General Construction Company composed of highly skilled professionals with extensive knowledge and experience in the DESIGN and BUILD industry. Our clients love the work we do as we always focus on the most important aspects of construction. ,,,www.stalwartphilippines.com,,,,,,,,STALWART Construction and Home innovation,"Unit 1&2 J Five Bldg. Palma Gil St., Bo. Obrero ObreroDavao City DAVAO DEL SUR",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=ZuxrvwF5WIFR3waxyD6Tp6WUs8NuyBYXbeq_jdcGaWo= http://www.stalwartphilippines.com,(082)300 4986 / 0917 724 0289
Construction,,,,,To be a leading provider of construction products that provides foundation for society's future.  We are solid partners for our customers and all stakeholders based on the integrity and competency of our people while providing quality products at the most friendly prices.  ,,,,,,,,,,,High Cap Marketing,Dr. 1 # 51 Vinzon St ObreroDAVAO CITY DAVAO DEL SUR,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=28PfYvc3D8RjGcXuWJlptTcXSJx58G8GfwbwbC1HTBc=,082 300 8186
,,,,,,,,,,,,,,,,,,,,
